Filename;ActivityName;Location;ReferenceProduct
17067_7e9fcdc2-65b5-49da-8c5d-f0fff1bf273a_2f7ff1bc-5e10-4276-b365-af34a3654eb8.spold;water production, ultrapure;CA-QC;water, ultrapure
17068_0fa6b859-e999-44d6-9bd3-6747cb2410e7_a987cf2b-6a25-4394-82a9-5a9b1f528856.spold;copper production, blister-copper;RER;copper, blister-copper
17069_967a8192-b9f2-4809-8ea4-4509dd7fbb92_0ffa7cec-4410-423f-82b4-0071f3334660.spold;carboxymethyl cellulose production, powder;RER;carboxymethyl cellulose, powder
17070_0e027bb7-4193-4d2f-958b-f773f8741222_913cd7e2-ca11-4117-8ee0-c3df033076f5.spold;chipboard production, white lined;RER;folding boxboard/chipboard
17071_0a088b8e-f85e-4cc1-857e-d6663e78cd3e_128696a8-005e-49a7-9616-d96178655408.spold;containerboard production, fluting medium, recycled;RER;containerboard, fluting medium
17072_885b1bd5-a775-4be5-9024-39eb21dc96fa_399489c2-92d1-4b5f-91ca-c23dafc52f4e.spold;containerboard production, linerboard, testliner;CA-QC;containerboard, linerboard
17073_28aa2012-ea82-41f7-8a35-0f6d342920c8_399489c2-92d1-4b5f-91ca-c23dafc52f4e.spold;containerboard production, linerboard, testliner;RER;containerboard, linerboard
17074_7231026d-3f00-4ba7-ab8a-6923d907c490_ca213807-7c00-4537-ac8c-23d39d0f2bd5.spold;corrugated board box production;CA-QC;corrugated board box
17075_e12bc8a7-6f32-457a-8bf3-80cf2963874f_6d7a9035-752d-4b84-ad72-bde1a987a585.spold;fibre cement corrugated slab production;CH;fibre cement corrugated slab
17076_0f4ebe2e-bc17-4c89-9d53-099fb0795332_f593c5c2-0980-43e9-8f70-617142b07bd6.spold;fibre cement facing tile production, large format;CH;fibre cement facing tile, large format
17077_cafeada1-b73d-4c76-a5e7-0c1cffad019f_2a49d197-0efb-46ab-a6a7-d22cc5b93350.spold;fibre cement facing tile production, small format;CH;fibre cement facing tile, small format
17078_375a00d9-35e2-4547-9601-e8b507d8a22d_903f9c06-b73e-466b-967e-e43998d36404.spold;fibre cement roof slate production;CH;fibre cement roof slate
17079_2c8e1766-f721-48af-98a8-6818c5e2d209_913cd7e2-ca11-4117-8ee0-c3df033076f5.spold;folding boxboard production;RER;folding boxboard/chipboard
17080_b4c6710e-7221-45b9-a7c9-0843e33253d7_71833dc2-6443-43d7-a992-4773f52f9afe.spold;kraft paper production, bleached;RER;kraft paper, bleached
17081_7da4a93c-2386-46ee-8d74-d7b144902ce6_c4f00122-eccc-4c3c-8068-0022aa7bf13b.spold;kraft paper production, unbleached;RER;kraft paper, unbleached
17082_557b8e17-4418-4360-871f-a7a092adff8b_128696a8-005e-49a7-9616-d96178655408.spold;market for containerboard, fluting medium;CA-QC;containerboard, fluting medium
17083_1df1e2de-8ed2-462a-a36d-2f7a9a15cb74_128696a8-005e-49a7-9616-d96178655408.spold;market for containerboard, fluting medium;RER;containerboard, fluting medium
17084_f50e67f6-5df6-4c21-824e-1d380051bb12_399489c2-92d1-4b5f-91ca-c23dafc52f4e.spold;market for containerboard, linerboard;CA-QC;containerboard, linerboard
17085_6c5f9350-3c08-4d9b-9f5e-56379face4cf_399489c2-92d1-4b5f-91ca-c23dafc52f4e.spold;market for containerboard, linerboard;RER;containerboard, linerboard
17086_6b9b087c-6201-49cb-ac68-a7bb6186f277_ca213807-7c00-4537-ac8c-23d39d0f2bd5.spold;market for corrugated board box;RER;corrugated board box
17087_4242e72c-6ac3-485e-9085-8f4a76aad211_c8f690ff-9611-4d67-85fa-c1ce5b5f8e20.spold;market for solvent for paint;GLO;solvent for paint
17088_de6edc05-17ea-4e93-8114-77b9e7ef76b5_ca213807-7c00-4537-ac8c-23d39d0f2bd5.spold;market for corrugated board box;CA-QC;corrugated board box
17089_51c3fb2d-56ac-488f-9488-b04341226d0b_43918f35-ec6f-4054-898b-c381aa071e93.spold;market for turpentine;GLO;turpentine
17090_d7ddef99-b23a-5f24-a7a1-39c90f98646a_8d7c013a-5aca-44d7-8fc4-193844d2953a.spold;market for waste packaging paper;CH;waste packaging paper
17091_226aac97-2fc8-45ec-ab40-b3462a6adc78_2540e7b1-583b-49c3-a53f-db748f92f730.spold;market for sulfate pulp, bleached;RER;sulfate pulp, bleached
17092_155ca8ba-f03b-4cf1-81bc-edbb0e898502_acfc9f7e-a0d7-4120-af03-a1bf03311db0.spold;market for tall oil, crude;GLO;tall oil, crude
17093_d437586f-89e7-41aa-9aca-01f819e420ba_63b67766-9ed6-4037-bb45-eb4f88fdd76b.spold;market for sulfate pulp, unbleached;RER;sulfate pulp, unbleached
17094_20abd808-4699-4369-ad23-260160ae6e2b_4495d57c-84f9-48e3-bb76-15ebc2b61d51.spold;paper production, newsprint, recycled;Europe without Switzerland;paper, newsprint
17095_7a62145a-72eb-4240-a397-f9d8c5c1c7bb_4495d57c-84f9-48e3-bb76-15ebc2b61d51.spold;paper production, newsprint, virgin;CA-QC;paper, newsprint
